site_id,model_cfs,comid,usgs_cfs,nwm_cfs
08071000,88.48130086927257,1520237,51.0,50.500019871236574
08068500,486.1923605064774,1508043,452.0,381.0456044829669
08068500,486.1923605064774,1508043,291.0,381.0456044829669
08068500,486.1923605064774,1508043,354.0,381.0456044829669
08068090,557.2935145196474,1468098,818.0,780.8079995475808
08069000,176.9988747227356,1508289,703.0,666.0352271129523
08069000,176.9988747227356,1508289,491.0,666.0352271129523
08069000,176.9988747227356,1508289,600.0,666.0352271129523
08064100,13.119852724414706,1446644,880.0,875.0982464400296
08064100,13.119852724414706,1446644,861.0,875.0982464400296
08064100,13.119852724414706,1446644,872.0,875.0982464400296
08062000,53.183251837054,1293094,93.4,90.05248298717011
08062000,53.183251837054,1293094,57.7,90.05248298717011
08062000,53.183251837054,1293094,75.1,90.05248298717011
08159105,0.04443420052129524,5789124,0.45,0.3531469921065495
08159105,0.04443420052129524,5789124,0.11,0.3531469921065495
08159105,0.04443420052129524,5789124,0.28,0.3531469921065495
08057410,357.4059021392342,1260375,6500.0,5249.883184655964
08057410,357.4059021392342,1260375,5250.0,5249.883184655964
08057410,357.4059021392342,1260375,5670.0,5249.883184655964
08063800,10.537897669092725,1446926,844.0,840.1366942214812
08063800,10.537897669092725,1446926,834.0,840.1366942214812
08063800,10.537897669092725,1446926,840.0,840.1366942214812
08063562,4.586074970584554,1446974,15.3,16.597908629007826
08063562,4.586074970584554,1446974,12.0,16.597908629007826
08063562,4.586074970584554,1446974,13.9,16.597908629007826
11526400,729.5072621385729,8244344,669.0,721.126157881574
08062095,7.405771137358198,1262793,14.7,9.534968786876835
08062800,13.542500759527572,1297176,31.5,30.723788313269804
08062800,13.542500759527572,1297176,28.0,30.723788313269804
08062800,13.542500759527572,1297176,29.7,30.723788313269804
11525670,9.564742169148223,8245912,7.46,7.062939842130989
08063100,6.89507264194597,4133253,965.0,965.1507294271997
08063100,6.89507264194597,4133253,944.0,965.1507294271997
08063100,6.89507264194597,4133253,954.0,965.1507294271997
08062895,3.397901288949048,1297270,18.6,18.010496597434024
08062895,3.397901288949048,1297270,17.3,18.010496597434024
08062895,3.397901288949048,1297270,17.8,18.010496597434024
08063460,7.08366246890049,4133151,951.0,872.9793644873903
11525530,5.155271296023429,8246406,3.9,3.884616913172044
11525854,640.8654514597592,8245896,547.0,535.0176930414225
11525500,567.3348672093292,8246426,532.0,509.94425660185743
11525655,603.0074746006853,8245886,520.0,515.9477554676688
08158035,0.20489682647228427,5781319,1.21,1.0594409763196484
08158035,0.20489682647228427,5781319,0.45,1.0594409763196484
08158035,0.20489682647228427,5781319,0.86,1.0594409763196484
11526250,676.7499386562259,8244482,629.0,775.1576476738761
353229119050601,2.643938079801574,948030276,,47.67484393438418
08449000,0.33505358274764124,12095655,,15.538467652688176
08449100,0.0,12096273,11.4,11.300703747409583
08449100,0.0,12096273,10.7,11.300703747409583
08449100,0.0,12096273,11.1,11.300703747409583
08068275,124.90980256739171,1508047,52.7,47.321696942277626
08068275,124.90980256739171,1508047,35.8,47.321696942277626
08068275,124.90980256739171,1508047,43.9,47.321696942277626
08068800,96.78878063847172,1509175,706.0,625.0701760285925
08068800,96.78878063847172,1509175,408.0,625.0701760285925
08068800,96.78878063847172,1509175,547.0,625.0701760285925
08105095,4.047316582094464,5670841,2.56,1.7657349605327473
08105095,4.047316582094464,5670841,2.18,1.7657349605327473
08105095,4.047316582094464,5670841,2.37,1.7657349605327473
08068740,60.07902249810414,1509209,552.0,492.99320098074304
08068740,60.07902249810414,1509209,406.0,492.99320098074304
08068740,60.07902249810414,1509209,477.0,492.99320098074304
08068780,23.11510776281673,1508121,38.8,34.2552582343353
08068780,23.11510776281673,1508121,24.8,34.2552582343353
08068780,23.11510776281673,1508121,31.5,34.2552582343353
08068900,136.88344976181352,1508295,,568.9198042836512
08075780,16.377032436824965,1438277,,36.727287179081145
08068305,18.693297045012912,1507983,,52.97204881598242
08068450,56.449818793803836,1508045,32.7,21.895113510606066
08068450,56.449818793803836,1508045,23.7,21.895113510606066
08068450,56.449818793803836,1508045,27.6,21.895113510606066
08068310,258.5647958695621,1508275,,158.91614644794726
08051135,14.447238585711213,1276822,832.0,821.0667566477275
08051135,14.447238585711213,1276822,775.0,821.0667566477275
08051135,14.447238585711213,1276822,798.0,821.0667566477275
08105505,1.0895190926976606,5670779,12.6,12.006997731622683
08105505,1.0895190926976606,5670779,10.0,12.006997731622683
08105505,1.0895190926976606,5670779,11.3,12.006997731622683
08105700,26.730485381952466,5670795,3.06,5.650351873704792
08105700,26.730485381952466,5670795,2.68,5.650351873704792
08105700,26.730485381952466,5670795,2.74,5.650351873704792
08075900,63.42601226041185,1438283,63.1,48.381137918597275
08075900,63.42601226041185,1438283,43.5,48.381137918597275
08075900,63.42601226041185,1438283,50.6,48.381137918597275
08022120,3459.558365104846,5279590,,7114.852449970652
08025356,4663.833248287297,8328658,,12426.889505237368
08022040,2386.863582876872,5278868,3450.0,3030.001192274194
08022040,2386.863582876872,5278868,2200.0,3030.001192274194
08022040,2386.863582876872,5278868,2730.0,3030.001192274194
08079600,3.6349733456753865,13698835,0.01,0.0
08068720,42.09234950159911,1509241,202.0,175.86720206906162
08068720,42.09234950159911,1509241,106.0,175.86720206906162
08068720,42.09234950159911,1509241,153.0,175.86720206906162
08068325,30.496817259702514,1508279,63.5,54.737783776515165
08068325,30.496817259702514,1508279,40.7,54.737783776515165
08068325,30.496817259702514,1508279,49.3,54.737783776515165
08025240,6.364158334717386,9535391,,10.947556755303033
08025360,4663.833248287297,8328658,12600.0,12426.889505237368
08045550,77.87152453099218,1268432,6.18,3.884616913172044
08045550,77.87152453099218,1268432,3.28,3.884616913172044
08045550,77.87152453099218,1268432,4.37,3.884616913172044
08158827,13.501454155524979,5781431,0.39,0.3531469921065495
08158827,13.501454155524979,5781431,0.33,0.3531469921065495
08158827,13.501454155524979,5781431,0.37,0.3531469921065495
08047000,3.821856723710592,1268934,22.9,22.954554486925716
08047000,3.821856723710592,1268934,22.9,22.954554486925716
08047000,3.821856723710592,1268934,22.9,22.954554486925716
08047050,2.1551686944506887,1268514,6.3,4.944057889491693
08047050,2.1551686944506887,1268514,3.81,4.944057889491693
08047050,2.1551686944506887,1268514,5.03,4.944057889491693
02105769,2177.058101399638,8834930,3310.0,3699.9210363003185
